Id;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MoSold;YrSold
1461;20;2;80.0;11622;1;0;3;1;3;0;2;10;2;4;4;5;5;6;1961;1961;1;2;11;1;0.0;2;2;2;3;3;1;3;468.0;2;144.0;270.0;882.0;5;2;1;5;896;0;0;896;0.0;0.0;1;0;2;1;2;5;6;0;0;5;1961.0;1;1.0;730.0;3;3;2;140;0;0;0;120;0;0;3;6;2010
1462;20;3;81.0;14267;1;0;2;1;3;2;2;10;4;4;4;5;6;6;1958;1958;4;2;5;2;108.0;2;2;2;3;3;1;5;923.0;1;0.0;406.0;1329.0;5;2;1;5;1329;0;0;1329;0.0;0.0;1;1;3;1;3;6;6;0;0;5;1958.0;1;1.0;312.0;3;3;2;393;36;0;0;0;0;0;0;6;2010
1463;60;3;74.0;13830;1;0;2;1;3;0;2;14;4;4;4;6;5;5;1997;1998;1;2;11;1;0.0;2;2;5;4;3;1;6;791.0;1;0.0;137.0;928.0;5;3;1;5;928;701;0;1629;0.0;0.0;2;1;3;1;2;6;6;1;3;5;1997.0;3;2.0;482.0;3;3;2;212;34;0;0;0;0;0;3;3;2010
1464;60;3;78.0;9978;1;0;2;1;3;0;2;14;4;4;4;6;6;6;1998;1998;1;2;11;2;20.0;2;2;5;3;3;1;6;602.0;1;0.0;324.0;926.0;5;4;1;5;926;678;0;1604;0.0;0.0;2;1;3;1;3;7;6;1;4;5;1998.0;3;2.0;470.0;3;3;2;360;36;0;0;0;0;0;0;6;2010
1465;120;3;43.0;5005;1;0;2;3;3;0;2;22;4;4;3;5;8;5;1992;1992;1;2;8;1;0.0;3;2;5;4;3;1;5;263.0;1;0.0;1017.0;1280.0;5;4;1;5;1280;0;0;1280;0.0;0.0;2;0;2;1;3;5;6;0;0;5;1992.0;2;2.0;506.0;3;3;2;0;82;0;0;144;0;0;0;1;2010
1466;60;3;75.0;10000;1;0;2;1;3;2;2;14;4;4;4;6;6;5;1993;1994;1;2;8;1;0.0;2;2;5;4;3;1;1;0.0;1;0.0;763.0;763.0;5;3;1;5;763;892;0;1655;0.0;0.0;2;1;3;1;2;7;6;1;3;5;1993.0;3;2.0;440.0;3;3;2;157;84;0;0;0;0;0;0;4;2010
1467;20;3;0.0;7980;1;0;2;1;3;0;2;14;4;4;4;5;6;7;1992;2007;1;2;8;1;0.0;2;3;5;4;3;1;5;935.0;1;0.0;233.0;1168.0;5;4;1;5;1187;0;0;1187;1.0;0.0;2;0;3;1;2;6;6;0;0;5;1992.0;3;2.0;420.0;3;3;2;483;21;0;0;0;0;0;4;3;2010
1468;60;3;63.0;8402;1;0;2;1;3;0;2;14;4;4;4;6;6;5;1998;1998;1;2;11;1;0.0;2;2;5;4;3;1;1;0.0;1;0.0;789.0;789.0;5;3;1;5;789;676;0;1465;0.0;0.0;2;1;3;1;2;7;6;1;4;5;1998.0;3;2.0;393.0;3;3;2;0;75;0;0;0;0;0;0;5;2010
1469;20;3;85.0;10176;1;0;3;1;3;0;2;14;4;4;4;5;7;5;1990;1990;1;2;8;1;0.0;2;2;5;4;3;4;6;637.0;1;0.0;663.0;1300.0;5;3;1;5;1341;0;0;1341;1.0;0.0;1;1;2;1;3;5;6;1;1;5;1990.0;1;2.0;506.0;3;3;2;192;0;0;0;0;0;0;0;2;2010
1470;20;3;70.0;8400;1;0;3;1;3;2;2;10;4;4;4;5;4;5;1970;1970;1;2;9;1;0.0;2;2;2;3;3;1;5;804.0;3;78.0;0.0;882.0;5;2;1;5;882;0;0;882;1.0;0.0;1;0;2;1;2;4;6;0;0;5;1970.0;3;2.0;525.0;3;3;2;240;0;0;0;0;0;0;3;4;2010
